EID,type,material,stress_landing,stress_taxi,stress_lateral,stress_vertical,stress_pressurization,life,log_life
13263,skin,1,3.208775,3.166215,9.249207,8.595202,7.627842,21.8423815705,1.3392999896433715
13264,skin,1,-2.094068,-3.363055,0.503988,1.913775,5.768291,44.65609822775,1.6498807744411088
13265,skin,1,-3.070445,-4.594671,-0.0426574,2.033953,6.240592,20.8585594735,1.3192843120333493
13266,skin,1,0.401604,0.339727,7.106835,7.001988,6.897171,75.092173239625,1.8755946734092444
13267,skin,1,1.476779,0.656112,5.583963,6.390315,7.353261,30.917897492875,1.4902099529601027
13268,skin,1,0.972178,-0.0254872,4.535755,5.279054,6.716292,56.04508045975,1.7485374969853762
13269,skin,1,2.607952,2.03933,5.933406,5.608092,5.819657,221.0286880125,2.3444486457979656
13270,skin,1,0.529485,-1.040221,2.945526,4.808062,6.710491,32.67311150275,1.514190494871191
13271,skin,1,1.208718,-0.210701,4.250129,5.573348,6.00175,120.48808812425,2.080944113154685
13272,skin,1,1.990332,1.286891,5.526528,4.824829,4.033477,1728.218293375,3.2375985978769983
13273,skin,1,1.872687,1.030336,3.85276,3.368044,3.11447,27986.298198125,4.446945457292611
13274,skin,1,1.928525,0.486381,3.248397,4.549673,4.702476,675.22175747875,2.8294464279907037
13275,skin,1,2.463604,1.076615,3.316108,4.489474,3.959154,3537.1407410625,3.5486523405189576
13276,skin,1,3.556573,2.139087,3.189617,5.175304,3.504536,2182.29093465,3.338912648585219
13277,skin,1,3.317219,1.958476,3.616575,5.064832,3.504,2523.4087298625,3.401987601190206
13278,skin,1,3.507538,2.329931,3.200115,4.9504,3.137441,3305.86283655,3.5192848303106765
13279,skin,1,4.481504,3.242312,3.24376,5.292111,2.986501,2167.2338070375,3.335905766709183
13280,skin,1,4.184984,3.016124,3.811355,5.289816,2.972304,2108.3118662875,3.323934853120124
13281,skin,1,5.358353,4.138738,4.455983,6.438366,3.40528,450.17067890125,2.653377204555916
13282,skin,1,4.796777,3.501949,5.698173,7.099694,4.368963,166.44068541375,2.22125949557799
13283,skin,1,7.316059,5.895349,3.666739,5.917219,1.811209,964.51942513375,2.984310978629406
13284,skin,1,4.512063,3.338481,5.085012,6.244346,3.57204,556.6037130775,2.745546099165991
13285,skin,1,4.926663,3.655264,4.234112,5.567056,2.722351,1615.4057398375,3.2082816216772425
13286,skin,1,2.008732,1.349386,5.850449,6.196887,5.518471,324.6229138425,2.5113791716951894
13287,skin,1,5.040606,4.073418,0.627982,1.882153,-1.301754,12810.1998055,4.107555903651741
13288,skin,1,4.768824,3.855646,-0.0152668,0.956737,-0.867133,43932.35392725,4.642784473700723
13289,skin,1,2.63744,1.96373,3.536487,3.653039,3.930619,9836.7178633875,3.9928502151390384
13290,skin,1,1.383232,1.174799,1.194052,1.08927,1.074422,230054569.2725,8.361830863508775
13291,skin,1,0.51478,0.325984,-0.317855,-0.328302,-0.119309,358079119256.25,11.553978996643885
13292,skin,1,1.306613,0.964829,1.319671,1.463034,1.181663,52430692.4355,7.719585593340863
13293,skin,1,0.540351,0.416512,4.244765,4.303801,4.263957,4419.6818139625,3.6453910043232063
13294,skin,1,6.992244,8.213614,12.3096,9.05816,3.958647,6.2891921554875,0.7985948640548329
13295,skin,1,4.369583,4.834024,7.918365,7.382604,5.098863,66.71027653425,1.824192740938146
13296,skin,1,0.343386,0.228088,22.76208,23.009,22.85956,0.2119489207875,-0.6737687904532822
13297,skin,1,0.124868,0.0936191,6.488599,6.550742,6.485116,132.40386496375,2.121900662656025
13298,skin,1,-2.7164,-3.415387,-0.119799,-0.378789,1.811508,134003.6113475,5.127116502597326
13299,skin,1,-1.03782,-1.314137,5.778305,5.662394,6.523356,83.389974750625,1.9211138423381087
13300,skin,1,-3.430286,-4.190464,2.081558,0.6851,4.040371,1206.84691918875,3.081652186114043
13301,skin,1,0.833382,0.458456,0.64925,1.161972,0.859909,178750845.985,8.252248105889889
13302,skin,1,-1.893863,-2.632166,4.010182,2.772195,5.18084,482.942984495,2.683895861640124
13303,skin,1,-2.31285,-2.905377,4.813575,3.28156,6.619478,76.5342541195,1.883855854049117
13304,skin,1,-0.677,-1.4081,4.271897,3.789426,5.150511,761.120921635,2.8814536599597242
13305,skin,1,-1.585872,-2.097295,5.375385,4.39665,6.420191,104.463833750375,2.0189659601002545
13306,skin,1,-0.155144,-0.924107,7.017752,6.612524,7.633177,38.832576634875,1.58919620798572
13307,skin,1,-2.201674,-2.624324,2.84567,1.224622,4.61569,1359.0211112,3.1332262031684426
13308,skin,1,1.042461,0.00684464,10.82482,10.25411,11.2835,4.655576254375,0.6679734444164154
13309,skin,1,-1.157614,-1.857812,6.769682,5.060512,8.156491,26.64684268575,1.4256457580009254
13310,skin,1,1.068579,0.0823075,9.403651,8.879343,9.809485,9.7861744000875,0.9906129510847356
13311,skin,1,0.45045,-0.466073,7.383639,6.748395,8.163063,28.948553522875,1.4616268681419373
13312,skin,1,4.527067,3.604629,9.00795,10.62415,8.553703,8.263639405925,0.9171713579508508
13313,skin,1,-1.371323,-1.66882,5.091046,2.801349,6.006121,290.53059444875,2.4631918727010405
13314,skin,1,-0.726535,-1.18698,5.191246,3.308706,5.938156,371.8117761925,2.570323140827025
13315,skin,1,3.780006,2.786544,7.100327,8.216809,6.927203,36.6682674705,1.564290390577539
13316,skin,1,3.16044,2.15853,7.34903,7.940618,6.995483,43.177626843625,1.635258768682755
13317,skin,1,1.35178,0.439886,6.085992,6.008007,6.337408,165.79271319875,2.2195654388371913
13318,skin,1,2.823332,1.83821,4.676171,5.91023,4.836889,563.69049433375,2.751040711255868
13319,skin,1,0.388626,-0.234824,6.896751,5.402682,6.367772,160.5129798475,2.205510157290539
13320,skin,1,1.721781,0.83176,6.246185,5.803722,5.936144,319.32505202375,2.5042329916020227
13321,skin,1,3.591818,2.433719,2.898979,4.997187,3.548685,2869.03736185,3.4577362038540973
13322,skin,1,2.196996,1.31726,2.721456,3.487607,2.340815,54326.578020625,4.73501235009972
13323,skin,1,1.591123,0.883007,4.469396,4.365469,3.714946,5249.4743182875,3.720115815387367
13324,skin,1,1.824175,1.15464,5.314109,4.750123,4.056878,1968.8347632625,3.2942092690002056
13325,skin,1,2.095416,1.378534,4.715515,4.562927,3.596997,4287.9389695375,3.632248595392336
13326,skin,1,1.83157,1.038209,3.6354,4.094378,3.224123,11801.774764725,4.0719473219306295
13327,skin,1,2.332544,1.695008,4.614714,4.56604,3.198272,5362.7967095875,3.7293913342411327
13328,skin,1,2.626587,2.005186,5.267895,5.016928,3.468463,2364.0183951625,3.373650851602824
13329,skin,1,2.84012,2.137733,4.904018,5.039595,3.505526,2557.2410434875,3.4077716662049258
13330,skin,1,3.152964,2.472365,6.497347,6.37809,4.616327,331.94293086625,2.521063424245268
13331,skin,1,3.644074,2.718018,6.733753,6.951635,5.046079,165.28538915,2.2182344646302337
13332,skin,1,4.906426,3.932094,6.530648,6.540226,3.460822,361.79667665625,2.5584645732576785
13333,skin,1,3.325575,2.390984,7.462455,7.883738,6.899626,50.3725161655,1.7021936449117019
13334,skin,1,4.325781,3.314332,6.004563,6.210686,4.031214,532.9872643225,2.7267168317272423
13335,skin,1,2.446262,1.782961,6.328859,6.462995,6.063671,221.6364193975,2.3456411253875746
13336,skin,1,4.789829,3.873581,2.703237,3.002766,0.664008,94443.61019975,4.975172580057076
13337,skin,1,3.692863,2.84403,3.540507,3.923455,1.670075,25517.45750125,4.406837400135914
13338,skin,1,1.070096,0.523164,6.44751,6.659846,6.84808,100.23103132475,2.001002199043253
13339,skin,1,1.478102,1.168478,1.745254,1.928249,1.242437,6286886.1660875,6.7984355968401475
13340,skin,1,0.560496,0.359727,0.11091,0.18683,0.170953,7073796375400.0,12.849652554162226
13341,skin,1,1.053628,0.830907,2.891047,2.913678,2.956494,92465.9259045,4.96598172281562
13342,skin,1,0.679668,0.474279,6.933517,6.934572,6.717361,88.049786945,1.9447283094376193
13343,skin,1,-2.250824,-2.24037,2.747242,2.143926,3.494715,7414.1713407625,3.8700626183118128
13344,skin,1,0.148227,0.164096,21.19398,21.001,20.90475,0.29786839938,-0.5259755682950192
13345,skin,1,0.0566267,0.0644762,6.272377,6.228217,6.18347,201.41302582875,2.3040875539167924
13346,skin,1,-2.918852,-3.357219,1.130668,-0.154433,1.881904,391999.8855725,5.593285940246887
13347,skin,1,-1.166484,-1.265142,6.255507,5.629212,6.480617,95.873085694625,1.9816967054518373
13348,skin,1,-4.490614,-4.057185,0.995656,0.678773,4.05894,916.30350151,2.962039346156375
13349,skin,1,-1.370357,-1.345059,4.395562,3.509932,4.575683,1767.86135775,3.2474482030271226
13350,skin,1,0.304392,0.346338,1.760702,1.066764,0.84964,61807313.326,7.79103986585275
13351,skin,1,-2.49924,-2.463952,2.901995,2.721441,5.165906,326.4724580825,2.513846549141513
13352,skin,1,-2.641676,-2.637318,3.776088,3.611869,6.753247,50.02292360775,1.6991690706333504
13353,skin,1,-0.804826,-0.761522,4.894163,4.5376,5.397601,596.93794358,2.7759291851300447
13354,skin,1,-2.23011,-2.437585,2.915291,2.957273,5.946006,124.925911970375,2.096652528514911
13355,skin,1,-0.223612,-0.362678,7.378482,7.229315,7.792347,32.992492348625,1.5184151246502078
13356,skin,1,-2.109583,-2.522482,1.481138,1.429238,4.766136,487.83158563375,2.688269916154737
13357,skin,1,0.206806,-0.0976309,10.13044,10.17154,11.27924,4.1283722232375,0.6157788473425799
13358,skin,1,-1.404171,-1.916354,4.696149,4.924874,8.107297,17.887704799625,1.252554619113765
13359,skin,1,0.457572,0.0360903,8.752241,8.79809,9.782922,8.513898924375,0.9301284899981814
13360,skin,1,0.0380369,-0.484677,6.699534,6.691143,8.146597,23.1837509195,1.3651837021993993
13361,skin,1,3.473448,3.652939,11.60036,10.74095,8.608718,6.2411566884,0.7952650859702891
13362,skin,1,-1.014531,-1.738197,1.75209,2.58817,5.891038,100.984670352,2.004255452130894
13363,skin,1,-0.5542,-1.271781,2.458843,3.072843,5.815784,132.7745963125,2.1231149896654906
13364,skin,1,2.828395,2.78868,9.082502,8.246911,6.954966,25.5526167425,1.4074353811297264
13365,skin,1,2.566888,2.157074,8.16095,7.931142,7.002662,38.544904730625,1.585966976586052
13366,skin,1,1.161032,0.410814,5.820772,5.903656,6.289389,142.898750805,2.155028432283856
13367,skin,1,2.386307,1.904109,6.642138,6.009399,4.905931,326.0316009475,2.5132596965464313
13368,skin,1,0.912082,-0.237566,3.849238,5.188923,6.182848,112.774476113125,2.052210818286197
13369,skin,1,1.783741,0.829159,5.126038,5.631233,5.810822,268.82007868875,2.4294617038835016
13370,skin,1,2.722061,2.258735,6.230685,5.065964,3.764386,1030.30762579125,3.012966914255365
